"","x"
"1","MMM"
"2","AOS"
"3","ABT"
"4","ACN"
"5","ADBE"
"6","AMD"
"7","AES"
"8","AFL"
"9","A"
"10","APD"
"11","AKAM"
"12","ALB"
"13","ARE"
"14","ALGN"
"15","LNT"
"16","ALL"
"17","GOOGL"
"18","GOOG"
"19","MO"
"20","AMZN"
"21","AEE"
"22","AAL"
"23","AEP"
"24","AXP"
"25","AIG"
"26","AMT"
"27","AWK"
"28","AMP"
"29","AME"
"30","AMGN"
"31","APH"
"32","ADI"
"33","ANSS"
"34","AON"
"35","APA"
"36","AAPL"
"37","AMAT"
"38","APTV"
"39","ACGL"
"40","ADM"
"41","AJG"
"42","AIZ"
"43","T"
"44","ATO"
"45","ADSK"
"46","ADP"
"47","AZO"
"48","AVB"
"49","AVY"
"50","AXON"
"51","BKR"
"52","BALL"
"53","BAC"
"54","BK"
"55","BBWI"
"56","BAX"
"57","BDX"
"58","BBY"
"59","BIO"
"60","TECH"
"61","BIIB"
"62","BLK"
"63","BX"
"64","BA"
"65","BKNG"
"66","BWA"
"67","BXP"
"68","BSX"
"69","BMY"
"70","AVGO"
"71","BR"
"72","BRO"
"73","BLDR"
"74","BG"
"75","CDNS"
"76","CPT"
"77","CPB"
"78","COF"
"79","CAH"
"80","KMX"
"81","CCL"
"82","CAT"
"83","CBOE"
"84","CBRE"
"85","CE"
"86","COR"
"87","CNC"
"88","CNP"
"89","CF"
"90","CHRW"
"91","CRL"
"92","SCHW"
"93","CHTR"
"94","CVX"
"95","CMG"
"96","CB"
"97","CHD"
"98","CI"
"99","CINF"
"100","CTAS"
"101","CSCO"
"102","C"
"103","CLX"
"104","CME"
"105","CMS"
"106","KO"
"107","CTSH"
"108","CL"
"109","CMCSA"
"110","CMA"
"111","CAG"
"112","COP"
"113","ED"
"114","STZ"
"115","COO"
"116","CPRT"
"117","GLW"
"118","CSGP"
"119","COST"
"120","CTRA"
"121","CCI"
"122","CSX"
"123","CMI"
"124","CVS"
"125","DHR"
"126","DRI"
"127","DVA"
"128","DECK"
"129","DE"
"130","DAL"
"131","XRAY"
"132","DVN"
"133","DXCM"
"134","DLR"
"135","DFS"
"136","DG"
"137","DLTR"
"138","D"
"139","DPZ"
"140","DOV"
"141","DHI"
"142","DTE"
"143","DUK"
"144","DD"
"145","EMN"
"146","ETN"
"147","EBAY"
"148","ECL"
"149","EIX"
"150","EW"
"151","EA"
"152","ELV"
"153","LLY"
"154","EMR"
"155","ETR"
"156","EOG"
"157","EPAM"
"158","EQT"
"159","EFX"
"160","EQIX"
"161","EQR"
"162","ESS"
"163","EL"
"164","EG"
"165","EVRG"
"166","ES"
"167","EXC"
"168","EXPE"
"169","EXPD"
"170","EXR"
"171","XOM"
"172","FFIV"
"173","FDS"
"174","FICO"
"175","FAST"
"176","FRT"
"177","FDX"
"178","FIS"
"179","FITB"
"180","FSLR"
"181","FE"
"182","FI"
"183","FLT"
"184","FMC"
"185","F"
"186","FTNT"
"187","BEN"
"188","FCX"
"189","GRMN"
"190","IT"
"191","GEN"
"192","GNRC"
"193","GD"
"194","GE"
"195","GIS"
"196","GM"
"197","GPC"
"198","GILD"
"199","GPN"
"200","GL"
"201","GS"
"202","HAL"
